SAS_No,Parti No,Malzeme Kodu,Teslimat Miktarı
SAS-5581743944,2604090338,121010783,375
SAS-5581743944,2604090565,121010783,375
SAS-5581743944,2604090563,121010783,375
SAS-5581743944,2604090339,121010783,375
SAS-5581743944,2604090652,121010783,375
SAS-5581743944,2604090564,121010783,375
SAS-5581743944,2604090340,121010783,375
SAS-5581743944,2604090499,121010783,375
SAS-5581743944,2604090341,121010783,375
SAS-5581743944,2604090500,121010783,375
SAS-5581743944,2604090344,121010783,375
SAS-5581743944,2604090343,121010783,375
SAS-5581743944,2604090443,121010783,229
SAS-5581743944,2604090739,121010783,315
SAS-5581743944,2604082196,120578470,108
SAS-5581743944,2604082194,120577929,108
SAS-5581743944,2604082200,120575365,103
SAS-5581743944,2604082199,120578471,106
SAS-5581743944,2604082197,120575365,108
SAS-5581743944,2604082198,120577696,106
SAS-5581743944,2604091704,120551942,113
SAS-5581743944,2604091705,120551942,113
SAS-5581743944,2604091686,120210362,109
SAS-5581743944,2604091687,120210362,109
SAS-5581743944,2604100778,120560460,107
SAS-5581743944,2604100773,120560460,107
SAS-5581743944,2604072661,120565516,108
SAS-5581743944,2604072660,120238611,108
SAS-5581743944,2604100799,120560460,109
SAS-5581743944,2604100798,120560460,109
SAS-5581743944,2604100777,120560460,107
SAS-5581743944,2604072731,120565279,108
SAS-5581743944,2604082179,120578471,108
SAS-5581743944,2604082178,120578471,108
SAS-5581743944,2604082177,120578471,108
SAS-5581743944,2604082150,120577932,108
SAS-5581743944,2604082136,120577696,108
SAS-5581743944,2604082135,120577696,108
SAS-5581743944,2604082132,120577696,102
SAS-5581743944,2604082140,120577696,109
SAS-5581743944,2604082137,120577696,109
SAS-5581743944,2604091689,120210362,109
SAS-5581743944,2604091936,120560740,114
SAS-5581743944,2604061171,120240820,75
SAS-5581743944,2604092357,121010783,375
SAS-5581743944,2604092356,121010783,375
SAS-5581743944,2604061172,120240820,75
SAS-5581743944,2604061174,120240820,75
SAS-5581743944,2604092355,121010783,375
SAS-5581743944,2604061168,120240820,75
SAS-5581743944,2604081006,120507296,36
SAS-5581743944,2604091380,120554968,108
SAS-5581743944,2604091541,120201286,112
SAS-5581743944,2604091535,120201286,110
SAS-5581743944,2604092361,121010783,375
SAS-5581743944,2604092362,121010783,375
SAS-5581743944,2604092359,121010783,375
SAS-5581743944,2604092364,121010783,375
SAS-5581743944,2604092358,121010783,375
SAS-5581743944,2604092363,121010783,375
SAS-5581743944,2604091645,120552170,112
SAS-5581743944,2604091646,120552170,112
SAS-5581743944,2604091641,120207206,112
SAS-5581743944,2604091917,120578958,114
SAS-5581743944,2604091931,120578958,114
SAS-5581743944,2604100776,120560460,107
SAS-5581743944,2604091571,120201288,113
SAS-5581743944,2604091562,120201287,113
SAS-5581743944,2604091560,120201287,112
SAS-5581743944,2604091559,120201287,112
SAS-5581743944,2604091528,120201286,110
SAS-5581743944,2604091527,120201286,110
SAS-5581743944,2604091552,120201287,112
SAS-5581743944,2604091551,120201286,112
SAS-5581743944,2604091553,120201287,112
SAS-5581743944,2604091531,120201286,108
SAS-5581743944,2604091561,120201287,112
SAS-5581743944,2604091542,120201286,112
SAS-5581743944,2604091550,120201286,112
SAS-5581743944,2604091523,120201286,110
SAS-5581743944,2604091458,120568079,90
SAS-5581743944,2604091534,120201286,110
SAS-5581743944,2604091651,120568716,113
SAS-5581743944,2604091623,120568079,110
